Date,BHARTIARTL_Actual,HDFCBANK_Actual,HUL_Actual,INFY_Actual,MM_Actual,RELIANCE_Actual,BHARTIARTL_Predicted,HDFCBANK_Predicted,HUL_Predicted,INFY_Predicted,MM_Predicted,RELIANCE_Predicted
2025-09-01,-0.0070753897116173,-0.0064376515555521,0.0103258728101617,-0.0004670503277671,-0.0247038940513803,0.0092633918346606,0.00047712724,0.0030285104883826,9.485551981821123e-05,0.0037008892824965,0.0004126511960747,5.0702358e-05
2025-09-02,-0.001750114089499,0.0104795841949438,-0.0046053900033512,-0.0131642524224105,0.0157966631131731,0.0044540073196836,0.0034708984,0.0036643727092655,-3.4897854759899784e-05,0.0017886529763592,0.0050878768723163,0.00066079653
2025-09-03,-0.001859575997232,0.0070992496833455,0.0007128918004734,-0.0109446267912472,0.057792215785388,-0.0097368364250827,0.0008522425,0.0008037687588587,0.0024283847643539,-0.0003342604802703,0.0012191248090042,0.00024564663
2025-09-04,0.0078926299615797,0.00223419871783,-0.0125286011963128,-0.0126567365535818,0.0226624250557552,0.011483833837948,0.0021343161,-0.0010545853393802,-0.0005780837492115,0.0009657014044338,0.0036572187191525,0.00026816194
2025-09-05,-0.0040180321867729,0.0026951146748342,-0.0036139798583278,-0.0081319981611212,0.0,0.0025422203631798,0.0010023118,0.0020651529157642,0.0023728169629836,0.0016113174227867,-0.0009501381558189,7.14242e-05
2025-09-08,0.0031734305761267,-0.0008802792430195,0.0068745062422567,0.0486272638495534,,-0.0016699091758714,0.0014386101,0.0027327249277902,-0.0004179923927291,0.0048222004978659,,0.00018829378
2025-09-09,-0.0012152529950062,0.0007767794917245,0.0005675832475101,0.0186379647896162,,0.0005811774406748,0.002311302,0.0024143256556876,-0.0025131974622216,0.0027002581653801,,-0.000108695756
2025-09-10,0.0113553819509091,0.0019651072848197,-0.0081663991043505,-0.01505474839173,-0.0024166207644032,0.0045647644504044,0.002764788,0.0017126395233649,-0.0033670512131027,0.0033109295686422,-0.0015161915762419,0.0013444554
2025-09-11,-0.0054513314998433,-0.0005167691772366,-0.015954284523279,0.0104768327241939,-0.0016143537647539,0.0084224310764067,0.0015322113,0.002846180646298,-0.0003307316665797,-0.0011779226439636,0.0002525674534166,0.00026816194
2025-09-12,0.0009981479782491,-0.0002584847670249,0.0001937396360836,-0.0113382177231434,-0.0167414527550035,0.0030777312008806,0.00011963358,0.002490392481644,-0.0023780823713453,0.0046570777445797,-0.0011068417163457,0.0025062484
