date,article_count,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral
2020-01-29,9,0.28577837865385747,0.3331841905083921,0.04740581185453468,0.6194100367526213
2020-01-30,65,-0.16246520385432703,0.23386995437053534,0.39633515822486237,0.36979488228949214
2020-01-31,51,0.0509732164826025,0.21658611609874404,0.16561289961614153,0.6178009931509402
2020-02-01,67,-0.21460013414747012,0.21810275956348918,0.4327028937109593,0.34919434887315354
2020-02-17,2,0.02249075099825859,0.043834466487169266,0.021343715488910675,0.9348218441009521
2020-02-18,76,0.03309920196740055,0.2796437878186177,0.2465445858512172,0.4738116236893754
2020-02-19,59,0.23958284324982157,0.29947373738228267,0.059890894132461084,0.6406353652414124
2020-02-20,37,0.046099907240352116,0.17191245361558488,0.1258125463752328,0.7022750060501937
2020-02-21,24,0.036979528764883675,0.24914469251719615,0.21216516375231245,0.5386901437304914
2020-02-22,18,-0.08627358968887064,0.12388548782716195,0.21015907751603258,0.6659554269992642
2020-03-31,45,0.23564798699484932,0.3230463893049293,0.08739840231008,0.589555215752787
2020-04-01,140,-0.010265705657989852,0.33404586928497465,0.34431157494296455,0.32164255222970883
2020-04-22,20,0.18969875182956458,0.255835263710469,0.06613651188090444,0.6780282136052846
2020-04-23,81,0.4806379251825957,0.5708101694874558,0.09017224430486008,0.33901758966852485
2020-04-24,54,-0.25323147142167995,0.21714679553621896,0.4703782669578989,0.31247493622962524
2020-04-25,25,0.1864839479327202,0.2810276316851377,0.09454368375241756,0.6244287073612214
2020-05-28,31,0.5699591929573686,0.6216990909869632,0.05173989802959465,0.3265610085499863
2020-05-29,69,-0.019107596773276295,0.27781330676668364,0.2969209035399599,0.4252657933376621
2020-05-30,20,-0.04605205191764981,0.10837367717176676,0.15442572908941657,0.7372005975805223
2020-05-31,41,0.19020938516662614,0.45994917114787714,0.269739785981251,0.27031104571027
2020-06-01,48,0.0793858599208761,0.2499378653980481,0.170552005477172,0.5795101400775214
2020-06-29,86,-0.375793595224359,0.1420737328332697,0.5178673280576287,0.34005894449127966
2020-06-30,75,0.17228731237351894,0.4129939155901472,0.24070660321662823,0.34629949954648814
2020-07-01,41,0.024583115605864583,0.2380202699725221,0.2134371543666575,0.548542563553627
2020-07-23,42,0.21894929801956528,0.3873320999333546,0.16838280191378935,0.4442851030312124
2020-07-24,79,-0.23769045084762044,0.21841126376220696,0.4561017146098274,0.3254870097683389
2020-07-25,50,-0.02138536173850298,0.06630517097190022,0.08769053271040321,0.8460042844340205
2020-08-28,37,0.1746863579578899,0.22732866288641015,0.05264230492852024,0.7200290229976982
2020-08-29,30,-0.05958443116396665,0.08144954011465112,0.14103397127861778,0.777516480969886
2020-08-30,19,0.5662468296818828,0.5880954374412173,0.02184860775933454,0.3900559471037827
2020-08-31,31,0.3847455143207504,0.47617103213504436,0.09142551781429399,0.43240344019666793
2020-09-01,90,0.32164548747241495,0.39160702505873307,0.06996153758631812,0.5384314356992642
2020-09-22,3,0.0675175612171491,0.34081312144796055,0.2732955602308114,0.3858913319806258
2020-09-23,65,0.008088120803810083,0.28354468248211423,0.2754565616783041,0.4409987634477707
2020-09-24,67,-0.04122973084727775,0.24557208736885838,0.28680181821613615,0.46762610367262986
2020-09-25,66,0.3027827917513522,0.3966144980213633,0.09383170627001108,0.5095537770539522
2020-09-26,12,0.029803147539496422,0.22501922957599163,0.1952160820364952,0.5797647008051475
2020-10-22,32,0.15324391178728547,0.3566267768619582,0.20338286507467274,0.4399903562152758
2020-10-23,10,0.3678107660263777,0.4320202857255936,0.06420951969921589,0.5037701804190874
2020-10-24,2,-0.43352075293660164,0.03288585878908634,0.466406611725688,0.5007075294852257
2020-10-25,10,0.4102646608836949,0.5037328835576773,0.09346822267398239,0.4027988836169243
2020-10-26,18,0.09928661843554841,0.3674841914843354,0.268197573048787,0.36431822035875583
2020-10-27,37,0.33264384564717075,0.48983188396370086,0.15718803831653014,0.35298008670577324
2020-10-28,42,0.05809906725993469,0.21348138244467832,0.15538231518474363,0.6311363108190042
2020-10-29,15,0.02396356879423062,0.21390738524496555,0.18994381645073494,0.5961488102873166
2020-10-30,10,-0.4061194034293294,0.10813333038240672,0.5142527338117361,0.377613908983767
2020-10-31,2,-0.42145825643092394,0.060815381817519665,0.4822736382484436,0.45691098272800446
2020-11-01,15,-0.6645094021844368,0.045856024231761695,0.7103654264161984,0.24377855161825815
2020-11-28,1,0.026478465646505356,0.05275525897741318,0.02627679333090782,0.9209679365158081
2020-11-29,54,-0.1862553518127512,0.15142170448477069,0.3376770562975219,0.5109012427015437
2020-11-30,46,0.09464505547657609,0.2194438313903368,0.12479877591376072,0.655757398709007
2020-12-01,81,0.4362298656243509,0.5087409878586545,0.07251112223430364,0.41874789014274694
2020-12-30,59,0.4756780926895849,0.5117685115754099,0.036090418885825044,0.4521410796096769
2020-12-31,93,-0.08718742913896999,0.3212855498116183,0.4084729789505883,0.2702414595511972
2021-01-01,41,0.5450420558180024,0.6101130924937201,0.06507103667571777,0.32481588246073667
2021-01-27,29,0.32053931537566,0.3694304233609602,0.04889110798530023,0.5816784447123264
2021-01-28,53,-0.06020022027264788,0.3120631990813703,0.3722634193540182,0.3156733726906889
2021-01-29,62,-0.005752560524870792,0.24474814538693718,0.25050070591180795,0.5047511658180626
2021-01-30,14,-0.0177319796888956,0.16814262353416,0.1858746032230556,0.645982765991773
2021-01-31,8,0.056006122613325715,0.2337085105245933,0.17770238791126758,0.5885890759527683
2021-02-01,31,0.1273673793240901,0.2281851043864604,0.1008177250623703,0.6709971777614085
2021-03-26,4,0.6685044749174267,0.6881039571017027,0.019599482184275985,0.29229660890996456
2021-03-27,9,0.19407026790496376,0.23144800919625494,0.037377741291291185,0.7311742343008518
2021-03-28,9,-0.6527053852462106,0.02371843821472592,0.6764238234609365,0.2998577261136638
2021-03-29,17,0.4488226678222418,0.49177615486961956,0.04295348704737775,0.46527036520488124
2021-03-30,64,0.2860135311129852,0.3513743016519584,0.06536077053897316,0.5832649528747424
2021-03-31,66,0.09577042973515662,0.3324528085067868,0.2366823787716302,0.43086481356823986
2021-04-01,37,0.3030251125628884,0.35546223859529236,0.052437126032404,0.5921006292306088
2021-05-26,57,0.4135330186405203,0.5098004857110873,0.09626746707056698,0.3939320315655909
2021-05-27,77,-0.094993029013518,0.22351068030897672,0.3185037093224947,0.45798561823639
2021-05-28,57,0.22688517632093608,0.279333124362063,0.052447948041126916,0.6682189325883723
2021-05-29,16,0.41974382154876366,0.4683093640487641,0.04856554250000045,0.48312510224059224
2021-06-27,15,0.18296804645409187,0.24585417533914247,0.06288612888505062,0.6912596759696802
2021-06-28,20,0.16507780032698066,0.31262164362706246,0.1475438433000818,0.5398345245979727
2021-06-29,56,0.21810705237190373,0.3455725271986531,0.12746547482674941,0.5269619966191905
2021-06-30,72,0.4191472887048601,0.5867465332654925,0.16759924456063244,0.24565422082216376
2021-07-01,37,-0.18287479655968175,0.2548136528883431,0.43768844944802493,0.30749790385566855
2021-07-26,45,0.15972459529423053,0.36894746960865127,0.20922287431442074,0.42182964061697326
2021-07-27,48,0.1687732955227451,0.3083821467589587,0.1396088512362136,0.5520090136366586
2021-07-28,41,0.08236927875294918,0.301031322990794,0.21866204423784483,0.4803066212774777
2021-07-29,33,0.4097098977389661,0.4955534909315633,0.08584359319259723,0.41860292106866837
2021-07-30,18,0.17161814066477948,0.24939327288625968,0.0777751322214802,0.67283160208414
2021-07-31,9,0.47562422944853705,0.49820784851908684,0.022583619070549805,0.47920852878855336
2021-08-01,9,-0.3102420042268932,0.06830070266086194,0.37854270688775515,0.5531565871917539
2021-08-27,34,0.26526149236323204,0.4286496095249758,0.16338811716174378,0.407962281969102
2021-08-28,10,0.12471965588629245,0.34090139511972667,0.2161817392334342,0.44291685000061987
2021-08-29,22,0.14300075131045145,0.3121604983356189,0.1691597470251674,0.5186797388913956
2021-08-30,51,0.35670571934943107,0.4862342945427871,0.12952857519335606,0.3842371336969675
2021-08-31,36,0.4504796308206601,0.47476232382986283,0.024282693009202678,0.5009549750636021
2021-09-01,51,0.1436279576965699,0.3514106684163505,0.2077827107197806,0.44080661973167284
2021-09-27,25,0.2175018603168428,0.3532060577720404,0.13570419745519757,0.5110897324979305
2021-09-28,44,-0.15814429117282006,0.23703398216854443,0.39517827334136446,0.3677877542478117
2021-09-29,57,-0.15477382507698054,0.2232509079601681,0.3780247330371487,0.39872434519623456
2021-09-30,34,0.03600404293769423,0.2445398034144412,0.208535760476747,0.5469244298360804
2021-10-01,51,0.025183677938127636,0.24674002404379494,0.2215563461056673,0.5317036199438221
2021-10-27,28,-0.016808989324740002,0.2363905074806618,0.25319949680540177,0.5104099853363421
2021-10-28,67,0.12221506668894148,0.3335729463220532,0.21135787963311173,0.4550691821348311
2021-10-29,49,0.16406392221510105,0.29450810959144513,0.13044418737634408,0.5750476905163757
2021-10-30,17,0.6941500302842435,0.761561657576,0.06741162729175652,0.17102672674638383
2021-10-31,9,-0.4622663327803214,0.06886077827463548,0.5311271110549569,0.4000121309525437
2021-11-01,37,0.4142730370717677,0.49911314644221516,0.08484010937044749,0.4160467583082012
2021-11-23,30,0.31229471856107316,0.4960444034387668,0.18374968487769366,0.3202059047296643
2021-11-24,69,0.1450079993776761,0.44454335841093806,0.29953535903326195,0.25592128593690583
2021-11-25,63,0.36894460547242375,0.6018600221871148,0.232915416714691,0.16522456155646414
2021-11-26,32,0.12618812096479814,0.3292418278288096,0.20305370686401147,0.46770444727735594
2021-11-27,8,-0.046100076055154204,0.09064456867054105,0.13674464472569525,0.7726108091883361
2021-12-28,60,0.46560715972445904,0.5479799720924348,0.08237281236797571,0.3696471919305623
2021-12-29,26,0.25996316668505853,0.4244359745644033,0.16447280787934476,0.41109124298852223
2021-12-30,13,0.13422380957322624,0.33033465393460715,0.19611084436138088,0.4735545057516832
2021-12-31,62,0.5763722468287714,0.642132535742055,0.06576028891328362,0.2921071682846354
2022-01-01,4,-0.20633943704888225,0.05774209136143327,0.2640815284103155,0.6781764011830091
