date,article_count,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral
2020-01-30,87,-0.7219413268304933,0.0572167961033939,0.7791581229338872,0.16362506589028
2020-01-31,27,-0.3469019938536264,0.13003069307241175,0.4769326869260382,0.393036605997218
2020-02-01,43,-0.03228065353103502,0.22242823116437987,0.25470888469541486,0.5228628914500045
2020-02-19,56,-0.06566692268409367,0.2502596096933952,0.3159265323774889,0.43381384963036645
2020-02-20,63,-0.540639053948874,0.10071676985789386,0.6413558238067679,0.25792741707511363
2020-02-21,28,0.11211621006285506,0.40192373782130225,0.2898075277584472,0.30826874177104663
2020-02-22,16,-0.11803464544937015,0.05943400674732402,0.17746865219669417,0.7630973437335342
2020-03-31,128,0.3693302051688079,0.5134233044154826,0.14409309924667468,0.34248359373304993
2020-04-01,54,-0.4273792725849759,0.13497265649062615,0.562351929075602,0.30267542771374184
2020-04-23,90,0.12818532840659222,0.3188057065113551,0.1906203781047629,0.4905739177846246
2020-04-24,84,-0.25959866811587873,0.18699558393009716,0.4465942520459759,0.36641017762234523
2020-04-25,15,-0.03722079017510017,0.2062296432753404,0.24345043345044057,0.5503199522693952
2020-05-29,55,-0.10638714751059358,0.17763539268211884,0.28402254019271245,0.5383420646698638
2020-05-30,9,0.40057552471343016,0.41873083553380436,0.018155310820374224,0.5631138688574234
2020-05-31,53,0.4626537007806858,0.49692685090286554,0.03427315012217974,0.4687999945907098
2020-06-01,74,0.25618291130868365,0.4659428917173598,0.20975998040867616,0.3242971192592302
2020-07-24,138,-0.024863443998754887,0.3228708184931589,0.3477342624919138,0.3293949181173483
2020-07-25,42,0.14505957246624998,0.29422504306283026,0.14916547059658028,0.5566094811739666
2020-08-31,44,0.10450872505845671,0.30109856273470953,0.19658983767625282,0.5023115894079886
2020-09-01,128,0.07130156492712558,0.3313462148216786,0.260044649894553,0.4086091331555508
2020-09-23,47,-0.3350755319276706,0.16747516980196567,0.5025507017296362,0.3299741359784248
2020-09-24,44,-0.2298006865894422,0.13966066417792303,0.36946135076736525,0.4908779892139137
2020-09-25,51,0.031137056073502582,0.2523221253399171,0.2211850692664145,0.5264928072106605
2020-09-26,39,-0.003870517910959629,0.12950751557946205,0.13337803349042168,0.7371144661536584
2020-10-18,24,-0.09457287522188078,0.18608754415375492,0.2806604193756357,0.5332520324736834
2020-10-19,17,0.23498079512158737,0.3069689706625307,0.07198817554094336,0.6210428927751148
2020-10-21,46,0.4147778775178544,0.5298327387148596,0.11505486119700514,0.35511240472450206
2020-10-22,50,0.3556811411306262,0.5244026360288262,0.16872149489820004,0.30687587082386014
2020-10-23,9,0.2525644913936655,0.27455726597044205,0.021992774576776557,0.703449957486656
2020-10-24,8,0.2464861487969756,0.30293123284354806,0.05644508404657245,0.6406236849725246
2020-11-01,26,-0.5605701370737873,0.04589624054586658,0.6064663776196539,0.3476373844135266
2020-11-26,21,0.279542313888669,0.3917994358177696,0.11225712192910058,0.4959434363991022
2020-11-27,77,-0.008684000847014513,0.2916652989851964,0.3003492998322109,0.407985403190379
2020-11-28,10,0.14655417520552874,0.18361474759876728,0.037060572393238546,0.7793246798217297
2020-11-29,37,-0.1233207519493393,0.2542057948791095,0.3775265468284488,0.36826765572501197
2020-11-30,13,0.2618191965784018,0.40493246726691723,0.14311327068851545,0.4519542518716592
2020-12-01,31,0.35197115848742183,0.4140019028657867,0.06203074437836485,0.5239673374641326
2021-01-27,8,-0.32964218175038695,0.04095649300143123,0.3705986747518182,0.588444828055799
2021-01-28,73,-0.3585114929034081,0.11860154757965101,0.47711304048305914,0.404285423661748
2021-01-29,35,0.11198253356186406,0.31843540077762944,0.20645286721576536,0.47511172448950156
2021-01-30,34,0.08114624872584553,0.2841808735119069,0.2030346247860614,0.512784496826284
2021-01-31,23,0.12093493115642796,0.21974153124281895,0.09880660008639097,0.6814518493154774
2021-02-01,27,0.1237287519292699,0.28427771892812514,0.16054896699885526,0.5551733088990053
2021-02-26,64,-0.29656754207098857,0.12604925865889527,0.42261680072988383,0.4513339348777663
2021-02-27,45,-0.011332178271065156,0.20263510623739825,0.21396728450846342,0.5833976046906577
2021-02-28,45,-0.15078610200434922,0.15590846554065743,0.3066945675450067,0.5373969697703918
2021-03-01,44,0.225261885588142,0.3182073656511916,0.09294548006304963,0.588847158561376
2021-04-29,73,-0.062126271694592415,0.2859446839365649,0.3480709556311573,0.3659843560308218
2021-04-30,89,0.2479177716899705,0.5041780849929187,0.25626031330294824,0.23956160704615745
2021-05-01,36,0.5072127814637497,0.6238269194339713,0.11661413797022153,0.2595589525687198
2021-05-25,25,0.08055043738335371,0.27286321215331555,0.19231277476996184,0.53482401445508
2021-05-26,15,0.36038674631466466,0.42386439132193726,0.06347764500727256,0.51265797590216
2021-05-27,12,0.19828800717368722,0.23187659960240126,0.03358859242871404,0.734534828302761
2021-05-28,96,0.3708819019375369,0.5052951915034404,0.13441328956590345,0.36029152205446735
2021-05-29,10,-0.0240209786221385,0.09025772111490368,0.11427869973704219,0.7954636007547379
2021-06-29,62,0.23712660591568677,0.36746966998062786,0.1303430640649411,0.5021872752376141
2021-06-30,80,0.09967292855726555,0.38292733679991214,0.2832544082426466,0.33381823969539254
2021-07-01,64,0.06586178064753767,0.2394460208597593,0.17358424021222163,0.5869697339076083
2021-07-26,41,-0.6107838172238411,0.050297776100839055,0.6610815933246802,0.2886206185127177
2021-07-27,43,-0.06397899644189449,0.13617222037079724,0.2001512168126917,0.6636765677655159
2021-07-28,40,0.0568953676498495,0.40356202132534236,0.3466666536754929,0.2497713088057935
2021-07-29,41,0.416843952883671,0.5207815781780859,0.10393762529441496,0.37528079284763916
2021-07-30,9,0.12273064711027676,0.33439650903973317,0.21166586192945638,0.4539376337909036
2021-07-31,4,0.27160174667369574,0.28525544237345457,0.013653695699758828,0.7010908797383308
2021-08-01,11,-0.1754119822501459,0.06889441876079548,0.24430640101094137,0.6867991707880389
2021-08-23,24,0.14714429713785648,0.33020593707139295,0.18306163993353644,0.48673243541270494
2021-08-24,29,0.41734312163216286,0.5460947491870872,0.12875162755492434,0.3251536164818139
2021-08-25,41,0.36145640491712383,0.5194128681110536,0.15795646319392978,0.3226306575191457
2021-08-26,55,0.12058304780247536,0.3503801334987987,0.22979708569632334,0.4198227793994275
2021-08-27,30,0.20810592672787606,0.3167333630224069,0.10862743629453082,0.5746392025301854
2021-08-28,23,-0.1711870682142351,0.19488003477454185,0.3660671029887769,0.4390528710639995
2021-10-01,171,0.10700859412093434,0.21979765310796381,0.11278905898702947,0.6674132948381859
2021-10-27,49,0.14729595066485357,0.318570471463763,0.17127452079890942,0.5101550109684467
2021-10-28,35,0.08383225799937333,0.2126506525490965,0.1288183945497232,0.6585309578105807
2021-10-29,55,-0.20301648689941926,0.12082711786709048,0.32384360476650975,0.5553292926231569
2021-10-30,7,0.1277336064460022,0.13862300983497075,0.010889403388968535,0.8504875898361206
2021-10-31,5,-0.744125309959054,0.021508462727069855,0.7656337726861239,0.21285776384174823
2021-11-01,45,0.3708127301186323,0.4570206806891494,0.08620795057051711,0.4567713692370388
